soc_uni,soc,task_id,id,new_descript,word,definition
41-2031,41-2031.00,Retail Salespersons,701,Answer questions about the store and items for sale.,NA,NA
41-9011,41-9011.00,Demonstrators and Product Promoters,13190,Show how products and services work. Do so in a way that gets people to buy or use those things.,Services,"Helpful acts, things that are done for other people."
41-9011,41-9011.00,Demonstrators and Product Promoters,13206,Learn about products that you will show to customers. Get ready to show how products work.,NA,NA
41-9011,41-9011.00,Demonstrators and Product Promoters,13203,"Go to trade shows, stores, and other places to show how products and services work. Answer questions for people who might buy products.",Services,"Helpful acts, things that are done for other people."
41-9041,41-9041.00,Telemarketers,4618,Give sales talks. Read from scripts that describe goods and services. Tell people about a cause that needs money. Get people to buy things or to give money.,Goods,Things people buy.
41-9041,41-9041.00,Telemarketers,4618,Give sales talks. Read from scripts that describe goods and services. Tell people about a cause that needs money. Get people to buy things or to give money.,Services,"Helpful acts, things that are done for other people."
41-9041,41-9041.00,Telemarketers,4619,Call people and businesses on the phone. Get them to buy products or give money to a cause.,NA,NA
41-9041,41-9041.00,Telemarketers,4620,Tell people how goods or services work. Tell them the price of products. Answer questions.,Goods,Things people buy.
41-9041,41-9041.00,Telemarketers,4620,Tell people how goods or services work. Tell them the price of products. Answer questions.,Services,"Helpful acts, things that are done for other people."
43-3041,43-3041.00,Gaming Cage Workers,4661,Follow all gaming rules and laws.,NA,NA
43-3041,43-3041.00,Gaming Cage Workers,4665,Guard the gaming cage. That is the place where money and gaming chips are handled.,NA,NA
43-3041,43-3041.00,Gaming Cage Workers,4669,"Sell gaming chips, tokens, or tickets to players. Sell them to workers who will resell them to players.",NA,NA
43-3051,43-3051.00,Payroll and Timekeeping Clerks,2524,Fill in time sheets that show when workers start and stop work.,NA,NA
43-3051,43-3051.00,Payroll and Timekeeping Clerks,2528,Prepare reports for the end of a given period. Make sure spending and hours add up. Match payrolls to bank statements.,Period,A length of time.
43-3051,43-3051.00,Payroll and Timekeeping Clerks,2525,Update clients’ files with the number of hours worked and money owed. Bill clients.,Clients,"People, businesses, or groups who have hired you for your services and help."
43-4051,43-4051.00,Customer Service Representatives,18565,Talk to customers on the phone and in person. Give them info about goods and services. Take and enter orders. Cancel orders. Listen to complaints.,Goods,Things people buy.
43-4051,43-4051.00,Customer Service Representatives,18565,Talk to customers on the phone and in person. Give them info about goods and services. Take and enter orders. Cancel orders. Listen to complaints.,Services,"Helpful acts, things that are done for other people."
43-4051,43-4051.00,Customer Service Representatives,18565,Talk to customers on the phone and in person. Give them info about goods and services. Take and enter orders. Cancel orders. Listen to complaints.,Complaint,Reason someone is not happy or pleased.
43-4051,43-4051.00,Customer Service Representatives,2584,Fill out contract forms. Prepare change of address records. Cancel or stop service orders. Use computers.,NA,NA
43-4051,43-4051.00,Customer Service Representatives,2583,Figure out how much services will cost. Collect money and down payments. Set up billing.,Services,"Helpful acts, things that are done for other people."
43-4051,43-4051.00,Customer Service Representatives,2583,Figure out how much services will cost. Collect money and down payments. Set up billing.,Down payment,A payment made ahead of time. Often not the full amount owed.
43-4081,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2610,Greet and sign in guests. Pick out rooms for guests to stay in. Hand out room keys and cards.,NA,NA
43-4081,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2615,Tell bellhops what rooms guests are staying in. Give bellhops room keys and cards.,NA,NA
43-4081,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2612,Keep records about which rooms are empty. Keep track of how much money guests owe. Do so by hand or by computer.,NA,NA
43-4111,43-4111.00,"Interviewers, Except Eligibility and Loan",2627,"Ask people questions. Find out a person’s name, address, age, and more. Get info needed.",NA,NA
43-4111,43-4111.00,"Interviewers, Except Eligibility and Loan",2631,"Contact people by phone, mail, or in person. Set up interviews at homes, work places, and elsewhere.",NA,NA
43-4111,43-4111.00,"Interviewers, Except Eligibility and Loan",2632,Help people fill out forms.,NA,NA
43-4121,43-4121.00,"Library Assistants, Clerical",2657,Run a small branch library. Follow orders from off-site staff.,NA,NA
43-4121,43-4121.00,"Library Assistants, Clerical",18774,Lend out library items. Put them on hold. Get them from the shelves. Work at the checkout desk. Loan out books and other items.,NA,NA
43-4121,43-4121.00,"Library Assistants, Clerical",2658,Get info and records that are stored in computers. Store info and records in computers.,Store,To keep something for later use.
43-4151,43-4151.00,Order Clerks,2670,"Give order info to buyers by phone or by mail. Tell them about pricing, shipping dates, and any delays.",NA,NA
43-4151,43-4151.00,Order Clerks,2668,Get contact info from buyers. Take orders. Get billing and shipping info. Enter info on order forms.,NA,NA
43-4151,43-4151.00,Order Clerks,2677,File copies of orders. Keep and post records of orders.,NA,NA
43-4171,43-4171.00,Receptionists and Information Clerks,744,Run a phone switchboard. Answer and forward calls. Take messages. Set up meeting times. Answer questions.,NA,NA
43-4171,43-4171.00,Receptionists and Information Clerks,747,Greet visitors. Find out what they need. Tell them or show them where to go.,NA,NA
43-4171,43-4171.00,Receptionists and Information Clerks,751,Set up meeting times. Keep and update meeting schedules.,Schedule,A list of times and dates when tasks will get done.
43-4181,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,9758,"Help people who plan to travel. Check IDs, tickets, and travel plans. Set up boarding passes.",NA,NA
43-4181,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,9760,Take bags and cargo. Check them in. Tell people where to go.,Cargo,Objects being sent from one place to another.
43-4181,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,9761,"Use public address systems (PAs). Tell people when planes, trains, buses, or boats arrive and depart.",Public address systems,Machines that make sound loud enough for many people to hear it.
43-5011,43-5011.00,Cargo and Freight Agents,8201,"Keep records. Track all goods shipped, received, and stored.",Goods,Things people buy.
43-5011,43-5011.00,Cargo and Freight Agents,8201,"Keep records. Track all goods shipped, received, and stored.",Receive,To get or take in.
43-5011,43-5011.00,Cargo and Freight Agents,8201,"Keep records. Track all goods shipped, received, and stored.",Store,To keep something for later use.
43-5011,43-5011.00,Cargo and Freight Agents,20274,Make lists of everything loaded onto an airplane. List the number of people and bags. List how much the freight weighs. Send info out.,Freight,Objects being sent from one place to another.
43-5011,43-5011.00,Cargo and Freight Agents,8208,"Send received goods on the first flight out. Store goods in the right places. Use forklifts, hand trucks, and more.",Goods,Things people buy.
43-5011,43-5011.00,Cargo and Freight Agents,8208,"Send received goods on the first flight out. Store goods in the right places. Use forklifts, hand trucks, and more.",Receive,To get or take in.
43-5011,43-5011.00,Cargo and Freight Agents,8208,"Send received goods on the first flight out. Store goods in the right places. Use forklifts, hand trucks, and more.",Store,To keep something for later use.
43-5021,43-5021.00,Couriers and Messengers,7011,Load goods into vehicles. Make sure the right items are loaded in the right way. Protect goods from damage.,Goods,Things people buy.
43-5021,43-5021.00,Couriers and Messengers,7011,Load goods into vehicles. Make sure the right items are loaded in the right way. Protect goods from damage.,Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
43-5021,43-5021.00,Couriers and Messengers,7010,"Bring messages and orders to people. Walk, bike, drive a vehicle, or take a bus to do so.",Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
43-5021,43-5021.00,Couriers and Messengers,7022,Open and sort incoming mail. Make sure it goes to the right person or place.,NA,NA
43-5031,43-5031.00,"Police, Fire, and Ambulance Dispatchers",2707,Ask callers where they are and what is wrong. Figure out what help is needed and who should respond.,NA,NA
43-5031,43-5031.00,"Police, Fire, and Ambulance Dispatchers",2705,Follow guidelines to figure out which calls need the fastest response. Figure out who should respond. Send out help.,Response,"An answer, reply, or action taken to deal with a question or problem."
43-5031,43-5031.00,"Police, Fire, and Ambulance Dispatchers",2706,Record details from calls and messages. Keep track of responses.,Response,"An answer, reply, or action taken to deal with a question or problem."
43-5032,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2730,Keep track of workers and equipment. Know where they are and how they are being used. Plan and set up schedules.,Schedule,A list of times and dates when tasks will get done.
43-5032,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2729,Keep track of all calls and radio messages in an area. Make sure the right people stay in touch with each other.,NA,NA
43-5032,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2731,"Keep and update files about what customers ask for and what work is performed. Keep track of costs, charges, items on hand, and more.",NA,NA
43-5071,43-5071.00,"Shipping, Receiving, and Traffic Clerks",20276,"Make sure shipments include the right items. Compare to records, forms, and orders.",NA,NA
43-5071,43-5071.00,"Shipping, Receiving, and Traffic Clerks",4739,Keep records on shipments. Keep track of how much they weigh and how much space they fill. Keep track of charges. Note any problems.,NA,NA
43-5071,43-5071.00,"Shipping, Receiving, and Traffic Clerks",4741,"Talk to or write to buyers to solve shipping problems. Deal with broken or missing items, and more.",NA,NA
43-9021,43-9021.00,Data Entry Keyers,11401,"Read reports, bills, checks, and more. Record data in the right place on tapes or disks for later entry. Use keyboards or scanners.",NA,NA
43-9021,43-9021.00,Data Entry Keyers,11404,Store finished reports and records in the right places.,Store,To keep something for later use.
43-9021,43-9021.00,Data Entry Keyers,11407,Figure out what items are needed to do a task.,NA,NA
43-9061,43-9061.00,"Office Clerks, General",830,"Use office machines. Copy, scan, or fax papers and forms. Check voice mail. Use computers.",NA,NA
43-9061,43-9061.00,"Office Clerks, General",827,Answer phones and forward calls. Take messages.,NA,NA
43-9061,43-9061.00,"Office Clerks, General",833,Open and sort incoming mail. Make sure it gets where it needs to go. Answer letters. Prepare outgoing mail.,NA,NA
45-2011,45-2011.00,Agricultural Inspectors,14859,Set standards for meat and poultry products. Set rules for additives used to prepare or package foods.,Poultry,"Birds such as chickens, ducks, turkeys, geese, and fowl."
45-2011,45-2011.00,Agricultural Inspectors,14859,Set standards for meat and poultry products. Set rules for additives used to prepare or package foods.,Additive,"Something added to food or drink, often to keep it fresh or add flavor."
45-2011,45-2011.00,Agricultural Inspectors,14852,Make sure workers follow rules to keep their workplace clean and safe.,NA,NA
45-2011,45-2011.00,Agricultural Inspectors,14862,Set standards for food labels. Check food labels for meat and poultry products.,Poultry,"Birds such as chickens, ducks, turkeys, geese, and fowl."
45-2091,45-2091.00,Agricultural Equipment Operators,13355,"Make sure farm machines are working well. Adjust and repair them, as needed. Report any problems.",NA,NA
45-2091,45-2091.00,Agricultural Equipment Operators,13364,"Use bolts and hand tools to attach farm tools to tractors. Farm tools include plows, sprayers, and more.",NA,NA
45-2091,45-2091.00,Agricultural Equipment Operators,13366,"Drive trucks to carry crops, supplies, tools, or farm workers.",NA,NA
47-2021,47-2021.00,Brickmasons and Blockmasons,4773,"Use hand tools to scrape off extra mortar. Use jointing tools to seal, smooth, and finish.",Mortar,Something spread between bricks and stones to stick them together.
47-2021,47-2021.00,Brickmasons and Blockmasons,4773,"Use hand tools to scrape off extra mortar. Use jointing tools to seal, smooth, and finish.",Joint,The place where two things meet.
47-2021,47-2021.00,Brickmasons and Blockmasons,4772,"Break or cut bricks, tiles, or blocks. Make them the right size. Use a hammer, power saw, or trowel.",NA,NA
47-2021,47-2021.00,Brickmasons and Blockmasons,4771,"Attach bricks and other building materials to a structure. Use clamps, cement, torches, and more.",Structure,Something that is built.
47-2041,47-2041.00,Carpet Installers,2835,Check the area that carpet will cover. Fix any spots that might show through the carpet or cause problems.,NA,NA
47-2041,47-2041.00,Carpet Installers,20142,Clean up before and after carpet is put in. Vacuum the carpet. Get rid of any extra pieces.,NA,NA
47-2041,47-2041.00,Carpet Installers,2843,Put metal strips across door openings and where the carpet meets the floor. The strips will hold carpet in place.,NA,NA
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",8255,Check the area that carpet will cover. Make sure it is firm and dry.,Firm,Hard or stiff.
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",8256,Cut off extra flooring or carpet to make it fit. Attach edges to floor. Join pieces of flooring or carpet so they fit tightly.,NA,NA
47-2042,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",8264,Remove extra cement. Clean the surface after it is in place.,Surface,The outside of something.
47-2044,47-2044.00,Tile and Marble Setters,2848,"Make sure tiles line up and are straight. Use levels, squares, and other tools.",Tiles,"Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
47-2044,47-2044.00,Tile and Marble Setters,2851,Finish tile joints and clean between tiles.,Joint,The place where two things meet.
47-2044,47-2044.00,Tile and Marble Setters,2851,Finish tile joints and clean between tiles.,Tiles,"Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
47-2044,47-2044.00,Tile and Marble Setters,2853,"Mix and spread the material that tiles will stick to. That might be plaster, concrete, mortar, cement, glue, or something else. Use a brush or other tools.",Tiles,"Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
47-2044,47-2044.00,Tile and Marble Setters,2853,"Mix and spread the material that tiles will stick to. That might be plaster, concrete, mortar, cement, glue, or something else. Use a brush or other tools.",Mortar,Something spread between bricks and stones to stick them together.
47-2051,47-2051.00,Cement Masons and Concrete Finishers,7049,Spread and smooth concrete. Make sure it is even and flat. Use hand tools or power tools to do so.,NA,NA
47-2051,47-2051.00,Cement Masons and Concrete Finishers,7051,"Make sure concrete stays damp inside mixer. Check how wind, heat, or cold affects dampness.",Damp,A little bit wet.
47-2051,47-2051.00,Cement Masons and Concrete Finishers,7063,Spread roofing paper over a floor surface. Spread concrete over the roofing paper. This will be the base for marble tiles.,Surface,The outside of something.
47-2051,47-2051.00,Cement Masons and Concrete Finishers,7063,Spread roofing paper over a floor surface. Spread concrete over the roofing paper. This will be the base for marble tiles.,Tiles,"Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
47-2061,47-2061.00,Construction Laborers,11457,"Control traffic that is near, in, or around work zones.",Zone,An area set aside for a certain task.
47-2061,47-2061.00,Construction Laborers,11455,Clean and ready building sites. Get rid of anything that could be a risk.,NA,NA
47-2061,47-2061.00,Construction Laborers,11471,Help craft workers. Those workers include masons and people who put down carpets and plaster.,NA,NA
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",4798,"Use machines to spread, smooth, strengthen, and flatten road beds. Work with stone, concrete, and pavement.",NA,NA
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",4805,"Make sure pavement is even. Adjust the settings and flow of paving machines, as needed. Show workers the places where paving is not even.",NA,NA
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",4797,"Check, clean, and fix paving machines. Use hand tools. Report any problems with machines.",NA,NA
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,9849,Learn and follow rules to stay safe.,NA,NA
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,9861,Check how much fuel is on hand at building sites. Make sure there is enough.,NA,NA
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,9872,Keep track of the equipment and materials that workers use. Make note of any problems.,NA,NA
47-2082,47-2082.00,Tapers,13530,"Seal cracks, holes, and spaces between boards and panels. Use trowels and other tools to spread sealing mix.",NA,NA
47-2082,47-2082.00,Tapers,13537,Fill holes and smooth surfaces. Spread on extra layers of sealing mix.,NA,NA
47-2082,47-2082.00,Tapers,13541,Pick the right sealing mix or tape to use.,NA,NA
47-2121,47-2121.00,Glaziers,11485,Figure out how straight walls or ceilings are. Use plumb lines and levels.,Plumb line,A cord with a piece of lead on the end.
47-2121,47-2121.00,Glaziers,11495,"Drive trucks to carry mirrors, glass, equipment, and tools.",NA,NA
47-2121,47-2121.00,Glaziers,11506,Pick the right kind of glass or mirror based on what a buyer needs.,NA,NA
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",13545,"Measure and cut insulation. Use tape measures, saws, knives, scissors, and more.",Insulation,"Material that keeps in heat and keeps out cold. It can also keep out damp, or wet, air."
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",13546,"Cover and line structures with insulation. Use saws, knives, blowers, and other tools to do so.",Insulation,"Material that keeps in heat and keeps out cold. It can also keep out damp, or wet, air."
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",13548,"Cover, seal, and clean insulated surfaces or holes. Use plastic covers, fabric strips, tape, cement, and more to do so.",Insulated,Filled or treated with a material that keeps in heat and keeps out cold.
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",13548,"Cover, seal, and clean insulated surfaces or holes. Use plastic covers, fabric strips, tape, cement, and more to do so.",Surface,The outside of something.
47-2141,47-2141.00,"Painters, Construction and Maintenance",11512,"Fill in holes, cracks, and joints. Use putty, plaster, and other fillers to do so. Use putty knives and filling guns.",NA,NA
47-2141,47-2141.00,"Painters, Construction and Maintenance",11511,Use cloths or masking tape and paper to cover surfaces. Protect surfaces from dripping paint.,Surface,The outside of something.
47-2141,47-2141.00,"Painters, Construction and Maintenance",11516,Read or receive work orders from boss or homeowner. Figure out what is needed to do the job.,Receive,To get or take in.
47-2221,47-2221.00,Structural Iron and Steel Workers,11544,Read blueprints and building plans. Figure out how much material is needed and where.,Blueprint,A drawing that shows how something will be built.
47-2221,47-2221.00,Structural Iron and Steel Workers,11546,Use bolts to connect columns and beams. Follow blueprints and orders from worker in charge.,Column,A support that stands upright.
47-2221,47-2221.00,Structural Iron and Steel Workers,11546,Use bolts to connect columns and beams. Follow blueprints and orders from worker in charge.,Blueprint,A drawing that shows how something will be built.
47-2221,47-2221.00,Structural Iron and Steel Workers,11548,Use bolts to line up and connect steel parts that will then be fixed in place.,NA,NA
47-2231,47-2231.00,Solar Photovoltaic Installers,17740,Follow steps and rules to set up solar panels or support structures.,Solar,Something that gets its power from the sunlight.
47-2231,47-2231.00,Solar Photovoltaic Installers,17740,Follow steps and rules to set up solar panels or support structures.,Structure,Something that is built.
47-2231,47-2231.00,Solar Photovoltaic Installers,17756,Set up solar arrays. Connect wiring. Make sure arrays are turned off during set up.,Solar,Something that gets its power from the sunlight.
47-2231,47-2231.00,Solar Photovoltaic Installers,17756,Set up solar arrays. Connect wiring. Make sure arrays are turned off during set up.,Array,A set of wired solar panels.
47-2231,47-2231.00,Solar Photovoltaic Installers,17753,Figure out any risks linked to a solar power set up.,Solar,Something that gets its power from the sunlight.
47-3011,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",13600,"Mix mortar, plaster, and more. Do so by hand or using machines. Follow standard steps to get right mix.",Mortar,Something spread between bricks and stones to stick them together.
47-3011,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",13603,"Move, mix, or clean materials. Adjust process as needed.",Process,The steps taken to do something.
47-3011,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",13599,Find and give supplies to masons. Follow drawings and numbered steps to help with set up.,NA,NA
47-3012,47-3012.00,Helpers--Carpenters,8270,"Use glue, screws, pegs, nails, and hardware to fasten wooden boards.",Fasten,To attach firmly.
47-3012,47-3012.00,Helpers--Carpenters,8269,"Collect tools, equipment, or supplies from storage. Bring them to work site.",Storage,Somewhere to keep something for later use.
47-3012,47-3012.00,Helpers--Carpenters,8267,Put wooden boards and panels in place. Hold them while other workers fasten or cut them.,Fasten,To attach firmly.
47-3013,47-3013.00,Helpers--Electricians,4833,"Measure, cut, and bend wire or tubing. Use hand tools and measuring tools.",NA,NA
47-3013,47-3013.00,Helpers--Electricians,4844,Clean work site and wash parts.,Parts,Pieces needed to make a whole machine work. Example
47-3013,47-3013.00,Helpers--Electricians,4834,"Keep tools, vehicles, equipment, parts, and supplies in order. Make sure they work well.",Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
47-3013,47-3013.00,Helpers--Electricians,4834,"Keep tools, vehicles, equipment, parts, and supplies in order. Make sure they work well.",Parts,Pieces needed to make a whole machine work. Example
47-3015,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",4860,Get tools and equipment. Choose the right size and kind of pipe. Bring materials and equipment to work site.,NA,NA
47-3015,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",4866,"Clean shop, work site, and machines. Use solvents and rags.",Solvent,"A liquid that dissolves, or breaks down, other substances."
47-3015,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",4870,Fill pipes with sand or something else to keep them from bending out of shape. Hold pipes during bending and set up.,NA,NA
47-3016,47-3016.00,Helpers--Roofers,14926,Check to make sure finished roofs don’t let in water or leak.,NA,NA
47-3016,47-3016.00,Helpers--Roofers,14929,Clean work site and equipment.,NA,NA
47-3016,47-3016.00,Helpers--Roofers,14930,Keep tools and equipment in order. Make sure they work well.,NA,NA
47-4031,47-4031.00,Fence Erectors,13626,"Dig holes for posts. Use hand tools, diggers, and power machines.",NA,NA
47-4031,47-4031.00,Fence Erectors,13633,Attach rail supports to fence posts. Use hammers and pliers.,Pliers,Hand tool used to bend and hold things.
47-4031,47-4031.00,Fence Erectors,13637,Attach wire along the bottom of fence posts. That makes a fencing frame.,NA,NA
47-4051,47-4051.00,Highway Maintenance Workers,4872,Put out signs and cones to move traffic away from work sites.,NA,NA
47-4051,47-4051.00,Highway Maintenance Workers,18783,Take steps to keep vehicles and heavy equipment working. Keep them from breaking down.,Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
47-4051,47-4051.00,Highway Maintenance Workers,4875,Drive trucks to bring workers and equipment to work sites.,NA,NA
47-4061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,13655,Put spikes into railroad ties and fasten rails in place. Use spike-driving machines.,Fasten,To attach firmly.
47-4061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,13646,"Grease machines, change oil, and fill any fluids to the right level.",Fluids,Liquids.
47-4061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,13656,Run machines that lay railroad tracks or rails at the right distance apart.,NA,NA
47-5013,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",20451,Keep equipment and tools in good working order. Run safety checks.,NA,NA
47-5013,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",7083,"Write up reports to use for billing. Keep track of work done, tools used, or time spent on work.",NA,NA
47-5013,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",7086,Check wells that aren’t fit for use. Find out what needs to be done to make them fit for use.,Fit,"Ready, healthy, or in good shape."
47-5021,47-5021.00,"Earth Drillers, Except Oil and Gas",13671,"Start, stop, and control the drilling speed of machines. Control how pipes are placed into holes.",NA,NA
47-5021,47-5021.00,"Earth Drillers, Except Oil and Gas",13676,Run machines to clean earth and blow dust out of holes.,NA,NA
47-5021,47-5021.00,"Earth Drillers, Except Oil and Gas",13670,Watch drilling work. Check machine settings and listen to equipment. Figure out when to adjust drilling or change machines.,NA,NA
47-5031,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",9908,"Put, pack, and pour explosives into blast holes. Shovel drill cuttings and let water into holes. Press on material to pack it down.",Explosive,"A bomb or substance that will explode, or blow up."
47-5031,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",9910,Keep records about guns and explosives. Follow local and national laws for doing so.,Explosive,"A bomb or substance that will explode, or blow up."
47-5031,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",9924,Put waterproof sealing mix into guns. Load bullets or powder into guns. Put guns back together.,NA,NA
47-5042,47-5042.00,Mine Cutting and Channeling Machine Operators,7091,Move machines and controls to make more holes or cuts.,NA,NA
47-5042,47-5042.00,Mine Cutting and Channeling Machine Operators,7096,"Control the movement of equipment. Control the speed, height, and depth of cuts. Move and turn cutting machines.",NA,NA
47-5042,47-5042.00,Mine Cutting and Channeling Machine Operators,7102,Move plow blades through layers of coal. Use a remote control to do so. Follow orders sent by electronic or radio signals.,NA,NA
47-5081,47-5081.00,Helpers--Extraction Workers,13698,Fix machines and drilling equipment. Keep them in good working order. Use hand tools.,NA,NA
47-5081,47-5081.00,Helpers--Extraction Workers,13701,Clean work sites after job is done.,NA,NA
47-5081,47-5081.00,Helpers--Extraction Workers,13702,Put materials in order. Get them ready for use.,NA,NA
49-3021,49-3021.00,Automotive Body and Related Repairers,2935,"Fix or replace parts, as ordered by worker in charge. Get work done on time.",Parts,Pieces needed to make a whole machine work. Example
49-3021,49-3021.00,Automotive Body and Related Repairers,2943,"Fix and weld parts into place. Use wrenches, power grinders, and other tools.",Parts,Pieces needed to make a whole machine work. Example
49-3021,49-3021.00,Automotive Body and Related Repairers,2943,"Fix and weld parts into place. Use wrenches, power grinders, and other tools.",Weld,To join together using heat or flame.
49-3021,49-3021.00,Automotive Body and Related Repairers,2944,Put dolly blocks up on one side of a dent. Beat the other side with a hammer to remove the dent.,Dolly blocks,Tools used to shape metal.
49-3043,49-3043.00,Rail Car Repairers,9986,Record whether or not train cars are in good shape. Keep track of any fixes or upkeep needed. Keep track of fixes made.,NA,NA
49-3043,49-3043.00,Rail Car Repairers,9988,"Check bearings, seals, gaskets, wheels, and couplers. See if repairs are needed.",Coupler,Something that joins two parts.
49-3043,49-3043.00,Rail Car Repairers,9989,Check the inside and outside of rail cars that come into rail yards. Check for wear and damage.,NA,NA
49-3053,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,13774,"Fix gasoline engines. Keep them working well. Fix engines used in power saws, lawn mowers, and more.",NA,NA
49-3053,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,13777,"Record repairs made, time spent, and parts used.",Parts,Pieces needed to make a whole machine work. Example
49-3053,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,13778,"Perform standard care and upkeep. Clean and oil parts, tune systems, and more.",Parts,Pieces needed to make a whole machine work. Example
49-3092,49-3092.00,Recreational Vehicle Service Technicians,10008,Talk to customers. Read work orders. Check vehicles that need repair. Figure out what repairs are needed.,Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
49-3092,49-3092.00,Recreational Vehicle Service Technicians,10004,Check and test parts or systems to make sure the repairs worked.,Parts,Pieces needed to make a whole machine work. Example
49-3092,49-3092.00,Recreational Vehicle Service Technicians,10006,Check RVs for problems. Make any needed fixes.,RVs,"Vans used for travel, camping, and other fun things."
49-3093,49-3093.00,Tire Repairers and Changers,8364,"Raise vehicles, using hydraulic lifts.",Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
49-3093,49-3093.00,Tire Repairers and Changers,8364,"Raise vehicles, using hydraulic lifts.",Hydraulic,Powered by water or other liquids.
49-3093,49-3093.00,Tire Repairers and Changers,8365,Put wheels back onto vehicles.,Vehicle,"A machine that moves or carries people or things, such as a truck, car, or tractor."
49-3093,49-3093.00,Tire Repairers and Changers,8363,Put wheels on balancing machines. Find out how much weight is needed to balance wheels.,NA,NA
49-9011,49-9011.00,Mechanical Door Repairers,8388,Wind large springs with upward motion of arm.,Wind,To twist.
49-9011,49-9011.00,Mechanical Door Repairers,8391,Fill out paperwork and work orders. Note work needed or done.,NA,NA
49-9011,49-9011.00,Mechanical Door Repairers,8397,"Set up door frames, rails, and more. Use power tools, hand tools, and electronic testing equipment.",NA,NA
49-9052,49-9052.00,Telecommunications Line Installers and Repairers,11850,"Set up service calls with customers. Plan times to put in, connect, test, or adjust equipment.",NA,NA
49-9052,49-9052.00,Telecommunications Line Installers and Repairers,11846,"Go to customers’ homes or work places. Set up, fix, or adjust audio and video equipment. Make sure signal is clear.",Audio,Sound or music.
49-9052,49-9052.00,Telecommunications Line Installers and Repairers,11846,"Go to customers’ homes or work places. Set up, fix, or adjust audio and video equipment. Make sure signal is clear.",Video,Picture or image.
49-9052,49-9052.00,Telecommunications Line Installers and Repairers,11857,Clean tools and test equipment. Make sure they are in good working order.,NA,NA
49-9096,49-9096.00,Riggers,13894,Attach heavy loads to rigging. Check supports. Get them ready to move. Use hand and power tools.,Rigging,"Equipment used to lift, move, and slide heavy objects."
49-9096,49-9096.00,Riggers,13896,"Control how heavy equipment moves through narrow or small spaces. Use poles, lifts, and other rigging.",Rigging,"Equipment used to lift, move, and slide heavy objects."
