"","soc_uni","soc","original_title","new_occ_title","new_occ_description","new_occ_word","new_occ_definition"
"91","47-2061","47-2061.00","Construction Laborers","Construction workers do hands-on work at building sites. They do physical labor. They use many kinds of hand and power tools. They also use building equipment. Some workers dig, pour, or clean. Some help craft workers. Some work with heavy objects.","Construction workers do hands-on work at building sites. They do physical labor. They use many kinds of hand and power tools. They also use building equipment. Some workers dig, pour, or clean. Some help craft workers. Some work with heavy objects.","Physical labor","Work that uses the body."
"92","47-2071","47-2071.00","Paving, Surfacing, and Tamping Equipment Operators","Pavers use equipment to make roads, parking lots, and runways. They use machines to lay down and flatten gravel, dirt, and pavement.","Pavers use equipment to make roads, parking lots, and runways. They use machines to lay down and flatten gravel, dirt, and pavement.",NA,NA
"93","47-2073","47-2073.00","Operating Engineers and Other Construction Equipment Operators","Workers use power construction equipment. They use machines to dig and move dirt, build, and make repairs. Some fix equipment and keep it working well.","Workers use power construction equipment. They use machines to dig and move dirt, build, and make repairs. Some fix equipment and keep it working well.",NA,NA
"94","47-2082","47-2082.00","Tapers","Tapers get walls ready for painting or papering. They seal cracks and joints in walls.","Tapers get walls ready for painting or papering. They seal cracks and joints in walls.","Joint","The place where two things meet."
"95","47-2121","47-2121.00","Glaziers","Installers work with glass. They put in windows, skylights, store fronts, and display cases. They also put glass on surfaces such as walls, ceilings, and tabletops.","Installers work with glass. They put in windows, skylights, store fronts, and display cases. They also put glass on surfaces such as walls, ceilings, and tabletops.","Surface","The outside of something."
"96","47-2131","47-2131.00","Insulation Workers - Floor, Ceiling, and Wall","Workers put in different kinds of insulation. Insulation keeps in heat and keeps out cold. Workers line or cover floors, ceilings, or walls.","Workers put in different kinds of insulation. Insulation keeps in heat and keeps out cold. Workers line or cover floors, ceilings, or walls.",NA,NA
"97","47-2141","47-2141.00","Painters, Construction and Maintenance","Painters put paint on walls, equipment, buildings, and bridges. They use brushes, rollers, and spray guns. Some take off old paint to get a surface ready for painting. Some mix colors or oils for paint.","Painters put paint on walls, equipment, buildings, and bridges. They use brushes, rollers, and spray guns. Some take off old paint to get a surface ready for painting. Some mix colors or oils for paint.","Structure","Something that is built."
"98","47-2221","47-2221.00","Structural Iron and Steel Workers","Workers put together buildings and frameworks. They raise, place, and join large pieces of iron and steel.","Workers put together buildings and frameworks. They raise, place, and join large pieces of iron and steel.","Framework","A structure that supports a building."
"99","47-2231","47-2231.00","Solar Photovoltaic Installers","Installers set up solar power systems. They put solar panels on rooftops or in other places. They make sure panels stay in good working order.","Installers set up solar power systems. They put solar panels on rooftops or in other places. They make sure panels stay in good working order.","Solar power","Power that comes from sunlight."
"100","47-3011","47-3011.00","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers work with masons. Masons work with bricks, blocks, stones, and tiles. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers work with masons. Masons work with bricks, blocks, stones, and tiles. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Tiles","Thin, hard squares. Can be made of clay, stone, marble, wood, and other things."
"101","47-3012","47-3012.00","Helpers – Carpenters","Helpers assist woodworkers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers assist woodworkers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
"102","47-3013","47-3013.00","Helpers – Electricians","Helpers work with electricians. Electricians work with wiring and power sources. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers work with electricians. Electricians work with wiring and power sources. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
"103","47-3015","47-3015.00","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers work with plumbers. Plumbers work with pipes. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers work with plumbers. Plumbers work with pipes. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
"104","47-3016","47-3016.00","Helpers – Roofers","Helpers work with roofers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers work with roofers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
"105","47-4031","47-4031.00","Fence Erectors","Builders put up and fix fences and gates. They use hand and power tools.","Builders put up and fix fences and gates. They use hand and power tools.",NA,NA
"106","47-4051","47-4051.00","Highway Maintenance Workers","Workers keep roadways in good shape. They work on highways, streets, and runways. They fix broken pavement. They repair guard rails and road markers. Some mow grass, clear brush, or plow snow from roadways.","Workers keep roadways in good shape. They work on highways, streets, and runways. They fix broken pavement. They repair guard rails and road markers. Some mow grass, clear brush, or plow snow from roadways.",NA,NA
"107","47-4061","47-4061.00","Rail-Track Laying and Maintenance Equipment Operators","Workers put down and fix railway track. They use equipment to keep railway track in good working order.","Workers put down and fix railway track. They use equipment to keep railway track in good working order.",NA,NA
"108","47-5013","47-5013.00","Service Unit Operators - Oil, Gas, and Mining","Workers use equipment to keep oil flowing at wells. They increase the flow of oil and remove anything stuck in the wells. Some use fishing tools to pick up items dropped into wells.","Workers use equipment to keep oil flowing at wells. They increase the flow of oil and remove anything stuck in the wells. Some use fishing tools to pick up items dropped into wells.",NA,NA
"109","47-5021","47-5021.00","Earth Drillers, Except Oil and Gas","Earth drillers remove samples of dirt and soil for testing. They use many kinds of drills and equipment. Some use explosives. They work at mining and building sites.","Earth drillers remove samples of dirt and soil for testing. They use many kinds of drills and equipment. Some use explosives. They work at mining and building sites.",NA,NA
"110","47-5031","47-5031.00","Explosives Workers, Ordnance Handling Experts, and Blasters","Workers place and set off explosives. They do so to destroy structures or to move dirt and rock. They handle and store explosives.","Workers place and set off explosives. They do so to destroy structures or to move dirt and rock. They handle and store explosives.","Structure","Something that is built."
"111","47-5042","47-5042.00","Mine Cutting and Channeling Machine Operators","Workers use equipment to dig paths at mining sites. Paths are used for blasting and moving materials from mines.","Workers use equipment to dig paths at mining sites. Paths are used for blasting and moving materials from mines.",NA,NA
"112","47-5081","47-5081.00","Helpers--Extraction Workers","Helpers work with blasters, drillers, miners, and other oil and gas workers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers work with blasters, drillers, miners, and other oil and gas workers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
"113","49-3021","49-3021.00","Automotive Body and Related Repairers","Mechanics fix the bodies of cars and trucks. They fix dents, scratches, and bent frames.","Mechanics fix the bodies of cars and trucks. They fix dents, scratches, and bent frames.","Frame","The outside body of a car or truck."
"114","49-3043","49-3043.00","Rail Car Repairers","Mechanics check rail cars for damage. They fix and adjust rail cars and keep them in good shape.","Mechanics check rail cars for damage. They fix and adjust rail cars and keep them in good shape.",NA,NA
"115","49-3053","49-3053.00","Outdoor Power Equipment and Other Small Engine Mechanics","Mechanics fix power equipment. They work on equipment with small engines. They check for problems. They fix and adjust mowers, wheelchairs, and power tools.","Mechanics fix power equipment. They work on equipment with small engines. They check for problems. They fix and adjust mowers, wheelchairs, and power tools.",NA,NA
"116","49-3092","49-3092.00","Recreational Vehicle Service Technicians","Mechanics fix RVs and travel trailers. They check for problems. They make repairs. They inspect and adjust vans and trailers to keep them running well.","Mechanics fix RVs and travel trailers. They check for problems. They make repairs. They inspect and adjust vans and trailers to keep them running well.","RVs","Vans used for travel, camping, and other fun things."
"117","49-3093","49-3093.00","Tire Repairers and Changers","Workers fix and change tires.","Workers fix and change tires.",NA,NA
"118","49-9011","49-9011.00","Mechanical Door Repairers","Mechanics set up, fix, and adjust automatic doors. Those include garage doors. They fix the parts that make the doors work.","Mechanics set up, fix, and adjust automatic doors. Those include garage doors. They fix the parts that make the doors work.","Automatic","Starting, working, or moving on its own."
"119","49-9052","49-9052.00","Telecommunications Line Installers and Repairers","Installers and repair workers set up and fix telecommunications lines. Those include wires and lines that carry TV, Internet, and phone signals. Workers put in, test, and join the lines. They work with broadband, cable, and fiber optics.","Installers and repair workers set up and fix telecommunications lines. Those include wires and lines that carry TV, Internet, and phone signals. Workers put in, test, and join the lines. They work with broadband, cable, and fiber optics.","Fiber optics","Cables that help move information faster."
"120","49-9096","49-9096.00","Riggers","Riggers set up and fix rigging. Rigging is equipment used to lift, move, and slide heavy objects. Riggers work on building sites and in factories. They work in logging yards, on ships, and in shipyards. Some riggers help on TV and movie sets.","Riggers set up and fix rigging. Rigging is equipment used to lift, move, and slide heavy objects. Riggers work on building sites and in factories. They work in logging yards, on ships, and in shipyards. Some riggers help on TV and movie sets.",NA,NA
"121","49-9098","49-9098.00","Helpers--Installation, Maintenance, and Repair Workers","Helpers work with all kinds of installers and repair workers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers work with all kinds of installers and repair workers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
"122","51-2011","51-2011.00","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Riggers and builders put together parts for airplanes, spacecraft, or missiles. They lift and move heavy objects. They work with tails, wings, landing gear, and other aircraft parts.","Riggers and builders put together parts for airplanes, spacecraft, or missiles. They lift and move heavy objects. They work with tails, wings, landing gear, and other aircraft parts.","Missile","A flying weapon or a weapon shot from a plane."
"123","51-2022","51-2022.00","Electrical and Electronic Equipment Assemblers","Makers build electronics. They work with computers, motors, and batteries. They test and build equipment.","Makers build electronics. They work with computers, motors, and batteries. They test and build equipment.",NA,NA
"124","51-2031","51-2031.00","Engine and Other Machine Assemblers","Workers build engines, turbines, and machines. They make equipment used in factories, mines, and building sites.","Workers build engines, turbines, and machines. They make equipment used in factories, mines, and building sites.","Turbines","Machines that are powered by spinning parts."
"125","51-2091","51-2091.00","Fiberglass Laminators and Fabricators","Workers put layers of fiberglass onto molds. They put special coatings and waxes onto the fiberglass. They heat, press, and mix the fiberglass. They use it to make the outsides of cars, boats, golf carts, and more.","Workers put layers of fiberglass onto molds. They put special coatings and waxes onto the fiberglass. They heat, press, and mix the fiberglass. They use it to make the outsides of cars, boats, golf carts, and more.","Fiberglass","A material made of very small pieces of glass."
"126","51-2092","51-2092.00","Team Assemblers","Builders work as part of a team that makes a whole product or part of a product. They know more than just one task. They can perform all tasks needed and fill every role on the team. They don’t mind switching tasks. They make choices for the team as a whole.","Builders work as part of a team that makes a whole product or part of a product. They know more than just one task. They can perform all tasks needed and fill every role on the team. They don’t mind switching tasks. They make choices for the team as a whole.",NA,NA
"127","51-3011","51-3011.00","Bakers","Bakers mix food ingredients together. They prepare the mix and put it in an oven to bake. They make breads, cookies, cakes, pies, and other baked goods.","Bakers mix food ingredients together. They prepare the mix and put it in an oven to bake. They make breads, cookies, cakes, pies, and other baked goods.","Ingredients","Basic foodstuffs like sugar, flour, butter, and eggs."
"128","51-3021","51-3021.00","Butchers and Meat Cutters","Butchers cut and slice meat. They get meat ready to sell in stores and to the public.","Butchers cut and slice meat. They get meat ready to sell in stores and to the public.",NA,NA
"129","51-3091","51-3091.00","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Workers use roasting, baking, and drying machines. They use ovens, kilns, and vacuum driers. They work with food and tobacco.","Workers use roasting, baking, and drying machines. They use ovens, kilns, and vacuum driers. They work with food and tobacco.",NA,NA
"130","51-3092","51-3092.00","Food Batchmakers","Makers use and set up equipment to make large amounts of food. The machines mix and blend ingredients. Makers mix cheese, candy, and more.","Makers use and set up equipment to make large amounts of food. The machines mix and blend ingredients. Makers mix cheese, candy, and more.","Ingredients","Basic foodstuffs like sugar, flour, butter, and eggs."
"131","51-3093","51-3093.00","Food Cooking Machine Operators and Tenders","Workers use cooking equipment. They use steamers, deep fry cookers, kettles, boilers, and more. They use those machines to make food.","Workers use cooking equipment. They use steamers, deep fry cookers, kettles, boilers, and more. They use those machines to make food.",NA,NA
"132","51-4051","51-4051.00","Metal-Refining Furnace Operators and Tenders","Refiners use furnaces to melt and refine metal. They make different kinds of steel. They use gas, oil, coal, and electric furnaces.","Refiners use furnaces to melt and refine metal. They make different kinds of steel. They use gas, oil, coal, and electric furnaces.","Refine","To make pure or clean."
"133","51-4081","51-4081.00","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Setters use machines that cut and shape metal and plastic. They work with more than one kind of machine, tool, or robot. They set up machines and keep them running.","Setters use machines that cut and shape metal and plastic. They work with more than one kind of machine, tool, or robot. They set up machines and keep them running.",NA,NA
"134","51-6093","51-6093.00","Upholsterers","Upholsterers make covers for furniture or vehicles. They fix and replace used or worn covers.","Upholsterers make covers for furniture or vehicles. They fix and replace used or worn covers.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"135","51-7011","51-7011.00","Cabinetmakers and Bench Carpenters","Woodworkers cut, shape, and make wooden objects. They set up and use woodworking equipment.","Woodworkers cut, shape, and make wooden objects. They set up and use woodworking equipment.",NA,NA
"136","51-7041","51-7041.00","Sawing Machine Setters, Operators, and Tenders, Wood","Setters use machines that cut and saw wood. Some use equipment that is controlled by computers. They set up machines and keep them running.","Setters use machines that cut and saw wood. Some use equipment that is controlled by computers. They set up machines and keep them running.",NA,NA
"137","51-7042","51-7042.00","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Setters use machines that shape wood. They use pressers, sanders, planers, and more. They don’t use saws. Some use equipment that is controlled by computers. They set up machines and keep them running.","Setters use machines that shape wood. They use pressers, sanders, planers, and more. They don’t use saws. Some use equipment that is controlled by computers. They set up machines and keep them running.",NA,NA
"138","51-8093","51-8093.00","Petroleum Pump System Operators, Refinery Operators, and Gaugers","Workers use equipment to refine oil. Some workers control pumps and gauges. Some test oil. Some control oil flow through pipelines.","Workers use equipment to refine oil. Some workers control pumps and gauges. Some test oil. Some control oil flow through pipelines.","Gauges","Machines that measure."
"139","51-9012","51-9012.00","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Workers use machines that filter, shake, and spin products. They use machines that separate solids, liquids, and gases. They do so to sort and refine products. They set up machines and keep them running.","Workers use machines that filter, shake, and spin products. They use machines that separate solids, liquids, and gases. They do so to sort and refine products. They set up machines and keep them running.","Refine","To make pure or clean."
"140","51-9023","51-9023.00","Mixing and Blending Machine Setters, Operators, and Tenders","Setters use machines to mix things. They set up machines and keep them running. They mix food, mud, tobacco, and more.","Setters use machines to mix things. They set up machines and keep them running. They mix food, mud, tobacco, and more.",NA,NA
"141","51-9061","51-9061.00","Inspectors, Testers, Sorters, Samplers, and Weighers","Workers check things for problems and damage. They sort, weigh, and sample products. They make sure products meet guidelines. Some use measuring tools and testing equipment.","Workers check things for problems and damage. They sort, weigh, and sample products. They make sure products meet guidelines. Some use measuring tools and testing equipment.",NA,NA
"142","51-9083","51-9083.00","Ophthalmic Laboratory Technicians","Lab techs make eyeglasses, contact lenses, and other eye wear. They cut, grind, and polish lenses and frames. They put lenses into eyeglass frames. They use machines and equipment.","Lab techs make eyeglasses, contact lenses, and other eye wear. They cut, grind, and polish lenses and frames. They put lenses into eyeglass frames. They use machines and equipment.","Lab","Short for laboratory. A place where tests are done."
"143","51-9111","51-9111.00","Packaging and Filling Machine Operators and Tenders","Workers use equipment to pack products for storage or shipment. Some put foods into cans.","Workers use equipment to pack products for storage or shipment. Some put foods into cans.","Storage","Keeping something to use later."
"144","51-9121","51-9121.00","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Setters use machines to coat or paint products. Those products include glass, cloth, clay, metal, plastic, paper, wood, and more. Workers spray on paint, oil, or coatings that protect or improve a product’s surface.","Setters use machines to coat or paint products. Those products include glass, cloth, clay, metal, plastic, paper, wood, and more. Workers spray on paint, oil, or coatings that protect or improve a product’s surface.","Coat","To cover the outside of something."
"145","51-9122","51-9122.00","Painters - Transportation Equipment","Painters use machines to paint vehicles. They paint cars, buses, trucks, trains, boats, planes, and more. Some work in auto shops.","Painters use machines to paint vehicles. They paint cars, buses, trucks, trains, boats, planes, and more. Some work in auto shops.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"146","51-9123","51-9123.00","Painting, Coating, and Decorating Workers","Workers coat and paint furniture, glass, jewelry, toys, plates, leather, and more. They paint and coat things to protect them and make them look pretty.","Workers coat and paint furniture, glass, jewelry, toys, plates, leather, and more. They paint and coat things to protect them and make them look pretty.",NA,NA
"147","51-9192","51-9192.00","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Cleaning workers use equipment to clean and wash big amounts of things. They set up cleaning machines and keep them running.","Cleaning workers use equipment to clean and wash big amounts of things. They set up cleaning machines and keep them running.","Bulk","A big amount."
"148","51-9194","51-9194.00","Etchers and Engravers","Etchers and engravers cut designs into things. They work on metal, glass, wood, plastic, rubber and more. Some work by hand. Some use machines and computers.","Etchers and engravers cut designs into things. They work on metal, glass, wood, plastic, rubber and more. Some work by hand. Some use machines and computers.","Designs","Pictures or patterns."
"149","51-9198","51-9198.00","Helpers--Production Workers","Helpers assist factory workers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.","Helpers assist factory workers. Helpers don’t need to have the same skill level as the people they are helping. They use, hold, or offer materials or tools, as needed. They clean the work area and equipment.",NA,NA
"150","53-1011","53-1011.00","Aircraft Cargo Handling Supervisors","Supervisors watch over ground crew workers. Workers load, unload, and arrange baggage and cargo for aircraft. Some supervisors travel with an aircraft to handle cargo in flight. Some help to weigh and balance cargo. Some help flyers.","Supervisors watch over ground crew workers. Workers load, unload, and arrange baggage and cargo for aircraft. Some supervisors travel with an aircraft to handle cargo in flight. Some help to weigh and balance cargo. Some help flyers.","Cargo","Objects being sent from one place to another."
"151","53-1031","53-1031.00","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators","First-line supervisors watch over workers and helpers who use moving machines and vehicles. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.","First-line supervisors watch over workers and helpers who use moving machines and vehicles. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"152","53-3011","53-3011.00","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Drivers and workers help move sick and hurt people in ambulances. Drivers steer the ambulance. Workers lift and help the patients. Some workers help the driver.","Drivers and workers help move sick and hurt people in ambulances. Drivers steer the ambulance. Workers lift and help the patients. Some workers help the driver.","EMTs","People trained to give medical help in an emergency."
"153","53-3021","53-3021.00","Bus Drivers - Transit and Intercity","Bus drivers steer buses and motor coaches. They bring riders from place to place. Some drive a set path along city streets. Some drive on highways between states. Some collect payments or tickets. Some help riders with their bags.","Bus drivers steer buses and motor coaches. They bring riders from place to place. Some drive a set path along city streets. Some drive on highways between states. Some collect payments or tickets. Some help riders with their bags.",NA,NA
"154","53-3022","53-3022.00","Bus Drivers - School or Special Client","Some bus drivers bring students, older people, or disabled people from place to place. They make sure riders follow safety rules. They help people get on and off the bus.","Some bus drivers bring students, older people, or disabled people from place to place. They make sure riders follow safety rules. They help people get on and off the bus.",NA,NA
"155","53-3031","53-3031.00","Driver/Sales Workers","Drivers sell, pick up, or drop off goods along a set path. They drive trucks, cars, vans, bikes, and more. Some bring goods to stores. Some bring orders to people at their homes. Some pick up orders. Some collect payments. Some drivers set up the items they bring.","Drivers sell, pick up, or drop off goods along a set path. They drive trucks, cars, vans, bikes, and more. Some bring goods to stores. Some bring orders to people at their homes. Some pick up orders. Some collect payments. Some drivers set up the items they bring.","Goods","Things people buy."
"156","53-3032","53-3032.00","Heavy and Tractor-Trailer Truck Drivers","Drivers steer heavy trucks and tractor-trailers. Trucks carry at least 26,000 pounds. Some drivers load and unload the truck. They need a commercial drivers’ license.","Drivers steer heavy trucks and tractor-trailers. Trucks carry at least 26,000 pounds. Some drivers load and unload the truck. They need a commercial drivers’ license.",NA,NA
"157","53-3033","53-3033.00","Light Truck or Delivery Services Drivers","Drivers steer light trucks or vans. They drive vehicles that carry less than 26,000 pounds. They pick up or drop off goods and orders. Some drivers load and unload the truck.","Drivers steer light trucks or vans. They drive vehicles that carry less than 26,000 pounds. They pick up or drop off goods and orders. Some drivers load and unload the truck.","Goods","Things people buy."
"158","53-4011","53-4011.00","Locomotive Engineers","Engineers drive trains that carry people and freight. They follow railroad orders and rules.","Engineers drive trains that carry people and freight. They follow railroad orders and rules.","Freight","Objects being sent from one place to another."
"159","53-4021","53-4021.00","Railroad Brake, Signal, and Switch Operators","Workers set and use railroad brakes and track switches. They add or take away train cars to make trains longer or shorter. They signal engineers by hand or with flags. They check train cars, hoses, brakes, and more.","Workers set and use railroad brakes and track switches. They add or take away train cars to make trains longer or shorter. They signal engineers by hand or with flags. They check train cars, hoses, brakes, and more.","Signal","To give a sign that tells drivers what to do or what not to do."
"160","53-4031","53-4031.00","Railroad Conductors and Yardmasters","Conductors  make plans and tell workers on trains what to do. Yardmasters make plans and tell workers in the rail yard what to do.","Conductors  make plans and tell workers on trains what to do. Yardmasters make plans and tell workers in the rail yard what to do.",NA,NA
"161","53-4041","53-4041.00","Subway and Streetcar Operators","Drivers run and steer subways and streetcars. They bring riders from place to place. Some collect payments and tickets.  ","Drivers run and steer subways and streetcars. They bring riders from place to place. Some collect payments and tickets.  ",NA,NA
"162","53-5011","53-5011.00","Sailors and Marine Oilers","Sailors  work on ships and boats. They do a wide range of tasks. Some turn the wheel to steer the ship. Some handle ship gear and rigging. Oilers keep ship engines working well. They do repairs and cleaning in the engine room. Some sailors and oilers need special certificates.","Sailors  work on ships and boats. They do a wide range of tasks. Some turn the wheel to steer the ship. Some handle ship gear and rigging. Oilers keep ship engines working well. They do repairs and cleaning in the engine room. Some sailors and oilers need special certificates.","Rigging","Ropes on a ship."
"163","53-6021","53-6021.00","Parking Lot Attendants","Attendants work in parking lots or garages. Some park cars, trucks, and other vehicles. Some print out and give tickets to customers. Some collect a fee for parking.","Attendants work in parking lots or garages. Some park cars, trucks, and other vehicles. Some print out and give tickets to customers. Some collect a fee for parking.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"164","53-6031","53-6031.00","Automotive and Watercraft Service Attendants","Servicers do routine work on vehicles and boats. They add gas, change oil, and add fluids. They replace lights, windshield wipers, and fan belts. Some fix and replace tires. They collect payment for services and supplies.","Servicers do routine work on vehicles and boats. They add gas, change oil, and add fluids. They replace lights, windshield wipers, and fan belts. Some fix and replace tires. They collect payment for services and supplies.","Routine – Regular, common, done often.",NA
"165","53-6061","53-6061.00","Transportation Attendants, Except Flight Attendants","Attendants work on board ships, buses, trains, or in stations. They help with customers’ safety and comfort. They greet riders. They serve meals and drinks. They answer travel questions.","Attendants work on board ships, buses, trains, or in stations. They help with customers’ safety and comfort. They greet riders. They serve meals and drinks. They answer travel questions.",NA,NA
"166","53-7032","53-7032.00","Excavating and Loading Machine and Dragline Operators","Workers use equipment to scoop, shovel, or dig. They use machines that pick up and take away loose dirt, sand, rocks, and more.  ","Workers use equipment to scoop, shovel, or dig. They use machines that pick up and take away loose dirt, sand, rocks, and more.  ",NA,NA
"167","53-7051","53-7051.00","Industrial Truck and Tractor Operators","Drivers steer big vehicles at warehouses, factories, and building sites. The drive trucks, forklifts, loaders, and more. They move things from place to place.","Drivers steer big vehicles at warehouses, factories, and building sites. The drive trucks, forklifts, loaders, and more. They move things from place to place.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"168","53-7061","53-7061.00","Cleaners - Vehicles and Equipment","Cleaners wash vehicles, machines, and equipment. They use water, soaps, and cleaning mixes. They use brushes, cloths, hoses, and more.","Cleaners wash vehicles, machines, and equipment. They use water, soaps, and cleaning mixes. They use brushes, cloths, hoses, and more.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"169","53-7062","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","Workers do all kinds of hands-on work. They often move things from place to place.","Workers do all kinds of hands-on work. They often move things from place to place.","Manual","Done by hand."
"170","53-7063","53-7063.00","Machine Feeders and Offbearers","Workers feed things into or take things out of machines. They work with automatic machines or machines run by other workers. They often work in factory lines.","Workers feed things into or take things out of machines. They work with automatic machines or machines run by other workers. They often work in factory lines.","Automatic","Starting, working, or moving on its own."
"171","53-7064","53-7064.00","Packers and Packagers, Hand","Workers pack or package different products. They do the work by hand.","Workers pack or package different products. They do the work by hand.",NA,NA
"172","53-7072","53-7072.00","Pump Operators, Except Wellhead Pumpers","Workers use and control pumps. They pump gas, oil, cement, and more. They do not work on wellhead pumps.","Workers use and control pumps. They pump gas, oil, cement, and more. They do not work on wellhead pumps.","Wellhead","The opening of an oil or gas well."
"173","53-7073","53-7073.00","Wellhead Pumpers","Workers use power pumps and equipment in the oil and gas field. They make oil or gas flow from wellheads.","Workers use power pumps and equipment in the oil and gas field. They make oil or gas flow from wellheads.","Wellhead","The opening of an oil or gas well."
"174","53-7081","53-7081.00","Refuse and Recyclable Material Collectors","Collectors pick up and drop off trash and recycling. They dump bins into trash trucks. Some drive the trucks.  ","Collectors pick up and drop off trash and recycling. They dump bins into trash trucks. Some drive the trucks.  ",NA,NA
"175","Nov-51","Nov-51.00","Food Service Managers","Managers run departments that serve food or drink. They hire staff. They order equipment and supplies. They plan work shifts. They give workers tasks to do. They make sure rules are followed.","Managers run departments that serve food or drink. They hire staff. They order equipment and supplies. They plan work shifts. They give workers tasks to do. They make sure rules are followed.","Department","A part of an office or business that does a specific task."
"176","Nov-61","Nov-61.00","Funeral Service Managers","Managers run and plan services at funeral homes. They set prices. They plan funerals. Some meet with mourners. They give workers tasks to do. They keep things running smoothly.","Managers run and plan services at funeral homes. They set prices. They plan funerals. Some meet with mourners. They give workers tasks to do. They keep things running smoothly.","Funeral","Service for a person who has died."
"177","Nov-81","Nov-81.00","Lodging Managers","Managers run departments that offer lodgings. They greet guests. They hire and train staff. They plan work shifts. They give workers tasks to do. They keep things running smoothly.","Managers run departments that offer lodgings. They greet guests. They hire and train staff. They plan work shifts. They give workers tasks to do. They keep things running smoothly.","Lodgings","Places to live or sleep."
"178","13-1022","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","Buyers order goods that will be sold to customers. They study buying trends and sales records. They study the price and quality of goods. They decide what will sell well. They pick out, order, and set up payment for goods. They sign contracts. Some tell sales staff about new products.","Buyers order goods that will be sold to customers. They study buying trends and sales records. They study the price and quality of goods. They decide what will sell well. They pick out, order, and set up payment for goods. They sign contracts. Some tell sales staff about new products.","Bulk","A big amount."
"179","13-2072","13-2072.00","Loan Officers","Officers help people or businesses get loans. They decide who should and can get loans. They talk to people who want to borrow money. They explain money matters and payments.","Officers help people or businesses get loans. They decide who should and can get loans. They talk to people who want to borrow money. They explain money matters and payments.",NA,NA
"180","13-2082","13-2082.00","Tax Preparers","Preparers get tax returns ready. They work with people and businesses. They fill out forms. They offer help.","Preparers get tax returns ready. They work with people and businesses. They fill out forms. They offer help.",NA,NA
"181","15-1134","15-1134.00","Web Developers","Developers make and set up Web sites. They think about what online users need and how to give it to them. Some choose text, pictures, sound, and video to put online. They use computer software and programs.","Developers make and set up Web sites. They think about what online users need and how to give it to them. Some choose text, pictures, sound, and video to put online. They use computer software and programs.",NA,NA
