SOC,Title,Job Zone,Group,Total,Hourly Median,Annual Median,2014 Distribution (%),2024 Distribution (%),Change (Total),Change (%),2014-2024 Openings,Description
47-3016,Helpers--Roofers,2,Contruction & Extraction,10190,13.3,27670,0,0,1.7,15.3,3.1,"Help roofers by performing duties requiring less skill. Duties include using, supplying or holding materials or tools, and cleaning work area and equipment."
47-4031,Fence Erectors,2,Contruction & Extraction,21500,15.94,33150,0,0,2,8,6.7,"Erect and repair fences and fence gates, using hand and power tools."
47-4051,Highway Maintenance Workers,2,Contruction & Extraction,143320,18.33,38130,0.1,0.1,7.3,4.8,47.6,"Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement, repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road or plow snow from roadway."
47-4061,Rail-Track Laying and Maintenance Equipment Operators,2,Contruction & Extraction,14250,25.95,53970,0,0,1.5,9.3,5.3,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators."
47-5013,"Service Unit Operators, Oil, Gas, and Mining",2,Contruction & Extraction,42890,23.37,48610,0,0,4.7,7.3,26.9,"Operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells. May also perform similar services in mining exploration operations. Includes fishing-tool technicians."
47-5021,"Earth Drillers, Except Oil and Gas",2,Contruction & Extraction,18500,21.33,44360,0,0,2.7,13.6,7.2,"Operate a variety of drills such as rotary, churn, and pneumatic to tap sub-surface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. May use explosives. Includes horizontal and earth boring machine operators."
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",2,Contruction & Extraction,6310,25.08,52170,0,0,0.3,3.9,1.9,"Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures. Includes seismograph shooters."
47-5042,Mine Cutting and Channeling Machine Operators,2,Contruction & Extraction,5930,24.95,51900,0,0,-0.1,-1.8,1.4,"Operate machinery such as longwall shears, plows, and cutting machines to cut or channel along the face or seams of coal mines, stone quarries, or other mining surfaces to facilitate blasting, separating, or removing minerals or materials from mines or from the Earth's surface. Includes shale planers."
47-5081,Helpers--Extraction Workers,2,Contruction & Extraction,17660,17.21,35790,0,0,3.2,12.6,6.2,"Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning work area."
49-3021,Automotive Body and Related Repairers,2,"Installation, Maintenance, & Repair",143940,19.97,41540,0.1,0.1,13.7,9.2,48.1,Repair and refinish automotive vehicle bodies and straighten vehicle frames.
49-3043,Rail Car Repairers,2,"Installation, Maintenance, & Repair",22090,26.44,55e3,0,0,0.6,2.7,5.7,"Diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars."
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,2,"Installation, Maintenance, & Repair",33020,16.22,33730,0,0,1.5,4.8,8.1,"Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment and related equipment."
49-3092,Recreational Vehicle Service Technicians,2,"Installation, Maintenance, & Repair",13520,17.51,36430,0,0,0.4,3.3,4.3,"Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers. May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components. Includes workers who perform customized van conversions."
49-3093,Tire Repairers and Changers,2,"Installation, Maintenance, & Repair",109350,12.04,25040,0.1,0.1,4.3,4.1,40.3,Repair and replace tires.
49-9011,Mechanical Door Repairers,2,"Installation, Maintenance, & Repair",19840,18.5,38480,0,0,1.9,10.7,8.7,"Install, service, or repair automatic door mechanisms and hydraulic doors. Includes garage door mechanics."
49-9052,Telecommunications Line Installers and Repairers,2,"Installation, Maintenance, & Repair",100080,25.28,52590,0.1,0.1,0.7,0.6,22.2,"Install and repair telecommunications cable, including fiber optics."
49-9096,Riggers,2,"Installation, Maintenance, & Repair",21020,21.97,45690,0,0,1.8,8.7,7.2,"Set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry."
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",2,"Installation, Maintenance, & Repair",118720,13.23,27510,0.1,0.1,12.2,9.4,53.8,"Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment. Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers."
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2,Production,42010,24.06,50050,0,0,-2,-4.9,8.1,"Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems."
51-2022,Electrical and Electronic Equipment Assemblers,2,Production,218530,15.06,31310,0.1,0.1,-10.2,-4.9,25.5,"Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries."
51-2031,Engine and Other Machine Assemblers,2,Production,38150,19.81,41210,0,0,0,0.1,7.8,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing."
51-2091,Fiberglass Laminators and Fabricators,2,Production,19400,14.84,30870,0,0,-0.6,-3.3,4.1,"Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products."
51-2092,Team Assemblers,2,Production,1112780,14.45,30060,0.8,0.7,-6.5,-0.6,245.7,Work as part of a team having responsibility for assembling an entire product or component of a product. Team assemblers can perform all tasks conducted by the team in the assembly process and rotate through all or most of them rather than being assigned to a specific task on a permanent basis. May participate in making management decisions affecting the work. Includes team leaders who work as part of the team.
51-3011,Bakers,2,Production,180450,12.06,25090,0.1,0.1,13,7,53.6,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods."
51-3021,Butchers and Meat Cutters,2,Production,133880,14.36,29870,0.1,0.1,7,5,34.4,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments."
51-3023,Slaughterers and Meat Packers,2,Production,80780,12.78,26590,0.1,0.1,-0.5,-0.6,17.1,"Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat. Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats."
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2,Production,20080,13.73,28570,0,0,0.1,0.7,4,"Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment."
51-3092,Food Batchmakers,2,Production,148540,13.37,27810,0.1,0.1,-0.5,-0.4,26.4,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.
51-3093,Food Cooking Machine Operators and Tenders,2,Production,36520,13.63,28350,0,0,0.5,1.3,8.3,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products."
51-4051,Metal-Refining Furnace Operators and Tenders,2,Production,17730,19.73,41040,0,0,-1,-4.8,6.7,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel."
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Production,117300,16.51,34340,0.1,0.1,-2.5,-2.5,17.3,"Set up, operate, or tend more than one type of cutting or forming machine tool or robot."
51-6093,Upholsterers,2,Production,32520,15.89,33050,0,0,-1.8,-4.3,10.8,"Make, repair, or replace upholstery for household furniture or transportation vehicles."
51-7011,Cabinetmakers and Bench Carpenters,2,Production,97980,15.89,33050,0.1,0.1,1.3,1.3,9.2,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products."
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",2,Production,50640,13.65,28380,0,0,-0.5,-1.1,14.2,"Set up, operate, or tend wood sawing machines. May operate CNC equipment. Includes lead sawyers."
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2,Production,76130,13.71,28510,0,0,-1.7,-2.4,12.5,"Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines. May operate CNC equipment."
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,Production,41630,32.4,67400,0,0,0.9,2.2,17,"Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines."
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,Production,47160,18.44,38360,0,0,-0.6,-1.3,13.8,"Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators."
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",2,Production,130480,17.16,35680,0.1,0.1,-5.9,-4.7,27.1,"Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients."
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",2,Production,518950,17.68,36780,0.3,0.3,-1.1,-0.2,124.8,"Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment."
51-9083,Ophthalmic Laboratory Technicians,2,Production,28570,14.73,30640,0,0,3,9.8,10.2,"Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters."
51-9111,Packaging and Filling Machine Operators and Tenders,2,Production,386520,13.6,28290,0.3,0.2,3.8,1,138.7,Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,Production,85760,15.76,32790,0.1,0.1,-0.7,-0.7,18.4,"Set up, operate, or tend machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials."
51-9122,"Painters, Transportation Equipment",2,Production,54860,20.27,42150,0,0,3.2,5.9,13.4,"Operate or tend painting machines to paint surfaces of transportation equipment, such as automobiles, buses, trucks, trains, boats, and airplanes. Includes painters in auto body repair facilities."
51-9123,"Painting, Coating, and Decorating Workers",2,Production,15450,14.44,30030,0,0,-0.3,-2,3.3,"Paint, coat, or decorate articles such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather."
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2,Production,17860,13.73,28550,0,0,0.1,0.4,4.9,"Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities."
51-9194,Etchers and Engravers,2,Production,9520,14.96,31110,0,0,-0.3,-2.7,2.5,"Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers."
51-9198,Helpers--Production Workers,2,Production,429890,11.94,24830,0.3,0.3,-16.1,-3.8,136.8,"Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment."
53-1011,Aircraft Cargo Handling Supervisors,2,Transportation & Material Moving,7460,22.77,47360,0,0,0,0.5,1.9,"Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters."
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,2,Transportation & Material Moving,202760,27.54,57270,0.1,0.1,5.9,2.9,69.9,Directly supervise and coordinate activities of transportation and material-moving machine and vehicle operators and helpers.
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2,Transportation & Material Moving,17300,11.46,23850,0,0,6.5,33,9.8,"Drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients."
53-3021,"Bus Drivers, Transit and Intercity",2,Transportation & Material Moving,169680,19.13,39790,0.1,0.1,9.8,5.9,31.9,"Drive bus or motor coach, including regular route operations, charters, and private carriage. May assist passengers with baggage. May collect fares or tickets."
53-3022,"Bus Drivers, School or Special Client",2,Transportation & Material Moving,515020,14.5,30150,0.3,0.3,27.7,5.6,93,"Transport students or special clients, such as the elderly or persons with disabilities. Ensure adherence to safety rules. May assist passengers in boarding or exiting."
53-3031,Driver/Sales Workers,2,Transportation & Material Moving,426310,10.98,22830,0.3,0.3,20.8,4.7,96.6,"Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery. Includes newspaper delivery drivers."
53-3032,Heavy and Tractor-Trailer Truck Drivers,2,Transportation & Material Moving,1704520,19.87,41340,1.2,1.2,98.8,5.5,404.5,"Drive a tractor-trailer combination or a truck with a capacity of at least 26,000 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license."
53-3033,Light Truck or Delivery Services Drivers,2,Transportation & Material Moving,858710,14.7,30580,0.6,0.6,27.3,3.1,177.8,"Drive a light vehicle, such as a truck or van, with a capacity of less than 26,000 pounds Gross Vehicle Weight (GVW), primarily to deliver or pick up merchandise or to deliver packages. May load and unload vehicle."
53-4011,Locomotive Engineers,2,Transportation & Material Moving,39900,27.73,57670,0,0,-0.9,-2.3,16,"Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight. Interpret train orders, electronic or manual signals, and railroad rules and regulations."
53-4021,"Railroad Brake, Signal, and Switch Operators",2,Transportation & Material Moving,19860,27.2,56570,0,0,-0.4,-1.8,8.4,"Operate railroad track switches. Couple or uncouple rolling stock to make up or break up trains. Signal engineers by hand or flagging. May inspect couplings, air hoses, journal boxes, and hand brakes."
53-4031,Railroad Conductors and Yardmasters,2,Transportation & Material Moving,42880,27.64,57480,0,0,-0.9,-1.9,17.2,"Coordinate activities of switch-engine crew within railroad yard, industrial plant, or similar location. Conductors coordinate activities of train crew on passenger or freight trains. Yardmasters review train schedules and switching orders and coordinate activities of workers engaged in railroad traffic operations, such as the makeup or breakup of trains and yard switching."
53-4041,Subway and Streetcar Operators,2,Transportation & Material Moving,12350,31.09,64680,0,0,0.6,4.7,5.2,"Operate subway or elevated suburban trains with no separate locomotive, or electric-powered streetcar, to transport passengers. May handle fares."
53-5011,Sailors and Marine Oilers,2,Transportation & Material Moving,32530,20.22,42060,0,0,2.6,9.1,9.9,"Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen."
53-6021,Parking Lot Attendants,2,Transportation & Material Moving,146350,10.45,21730,0.1,0.1,5.8,4.2,81.3,Park vehicles or issue tickets for customers in a parking lot or garage. May collect fee.
53-6031,Automotive and Watercraft Service Attendants,2,Transportation & Material Moving,109790,10.78,22420,0.1,0.1,11.7,11.1,53.8,"Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, install antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires."
53-6061,"Transportation Attendants, Except Flight Attendants",2,Transportation & Material Moving,18410,12.53,26060,0,0,1,6.4,4.1,"Provide services to ensure the safety and comfort of passengers aboard ships, buses, trains, or within the station or terminal. Perform duties such as greeting passengers, explaining the use of safety equipment, serving meals or beverages, or answering questions related to travel."
53-7032,Excavating and Loading Machine and Dragline Operators,2,Transportation & Material Moving,48320,19.72,41030,0,0,3.4,6.2,9.7,"Operate or tend machinery equipped with scoops, shovels, or buckets, to excavate and load loose materials."
53-7051,Industrial Truck and Tractor Operators,2,Transportation & Material Moving,542750,15.61,32460,0.4,0.3,12.6,2.4,144.7,"Operate industrial trucks or tractors equipped to move materials around a warehouse, storage yard, factory, construction site, or similar location."
53-7061,Cleaners of Vehicles and Equipment,2,Transportation & Material Moving,348770,10.68,22220,0.2,0.2,33.1,9.5,154,"Wash or otherwise clean vehicles, machinery, and other equipment. Use such materials as water, cleaning agents, brushes, cloths, and hoses."
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",2,Transportation & Material Moving,2587900,12.49,25980,1.6,1.6,125.1,5.1,851.7,"Manually move freight, stock, or other materials or perform other general labor. Includes all manual laborers not elsewhere classified."
53-7063,Machine Feeders and Offbearers,2,Transportation & Material Moving,88070,13.66,28410,0.1,0.1,-3.5,-3.4,22.9,Feed materials into or remove materials from machines or equipment that is automatic or tended by other workers.
53-7064,"Packers and Packagers, Hand",2,Transportation & Material Moving,705660,10.64,22130,0.5,0.4,11.5,1.7,196.4,Pack or package by hand a wide variety of products and materials.
53-7072,"Pump Operators, Except Wellhead Pumpers",2,Transportation & Material Moving,12030,20.42,42470,0,0,1.1,8.4,7.8,"Tend, control, or operate power-driven, stationary, or portable pumps and manifold systems to transfer gases, oil, other liquids, slurries, or powdered materials to and from various vessels and processes."
53-7073,Wellhead Pumpers,2,Transportation & Material Moving,11610,23.85,49610,0,0,1.8,13.1,8.9,Operate power pumps and auxiliary equipment to produce flow of oil or gas from wells in oil field.
53-7081,Refuse and Recyclable Material Collectors,2,Transportation & Material Moving,114680,16.95,35270,0.1,0.1,9.4,7.1,42.4,Collect and dump refuse or recyclable materials from containers into truck. May drive truck.
11-9061,Funeral Service Managers,3,Management,8370,35.5,73830,0,0,1,3.3,7.4,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes."
13-1022,"Wholesale and Retail Buyers, Except Farm Products",3,Business & Financial Operations,109440,25.65,53340,0.1,0.1,8.1,6.2,49.1,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. Includes assistant wholesale and retail buyers of nonfarm products."
13-2072,Loan Officers,3,Business & Financial Operations,305700,30.6,63650,0.2,0.2,24.5,8.1,75,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters."
13-2082,Tax Preparers,3,Business & Financial Operations,70030,17.57,36550,0.1,0.1,1.4,1.6,24.1,Prepare tax returns for individuals or small businesses.
15-1134,Web Developers,3,Computer & Mathematical,129540,31.79,66130,0.1,0.1,39.5,26.6,58.6,"Design, create, and modify Web sites. Analyze user needs to implement Web site content, graphics, performance, and capacity. May integrate Web sites with other computer applications. May convert written, graphic, audio, and video components to compatible Web formats by using software designed to facilitate the creation of Web and multimedia content."
15-1151,Computer User Support Specialists,3,Computer & Mathematical,602840,23.74,49390,0.4,0.4,75.1,12.8,150.5,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, or via telephone or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems."
17-3027,Mechanical Engineering Technicians,3,Architecture & Engineering,45510,26.19,54480,0,0,0.9,2,12.8,"Apply theory and principles of mechanical engineering to modify, develop, test, or calibrate machinery and equipment under direction of engineering staff or physical scientists."
19-4031,Chemical Technicians,3,"Life, Physical, & Social Science",65510,22.04,45840,0,0,1.2,1.9,21.1,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences."
23-2091,Court Reporters,3,Legal,17700,24.68,51320,0,0,0.3,1.5,4.9,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers."
25-1194,"Vocational Education Teachers, Postsecondary",3,"Education, Training, & Library",116430,24.36,50660,0.1,0.1,9.1,6.6,33.6,"Teach or instruct vocational or occupational subjects at the postsecondary level (but at less than the baccalaureate) to students who have graduated or left high school. Includes correspondence school, industrial, and commercial instructors; and adult education teachers and instructors who prepare persons to operate industrial machinery and equipment and transportation and communications equipment. Teaching may take place in public or private schools whose primary business is education or in a school associated with an organization whose primary business is other than education."
25-2011,"Preschool Teachers, Except Special Education",3,"Education, Training, & Library",385550,13.84,28790,0.3,0.3,29.6,6.7,158.7,"Instruct preschool-aged children in activities designed to promote social, physical, and intellectual growth needed for primary school in preschool, day care center, or other child development facility. May be required to hold State certification."
25-4031,Library Technicians,3,"Education, Training, & Library",93410,15.81,32890,0.1,0.1,5.3,5.2,53.9,"Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books or other media; remove or repair damaged books or other media; register patrons; and check materials in and out of the circulation process. Replace materials in shelving area (stacks) or files. Includes bookmobile drivers who assist with providing services in mobile libraries."
25-9041,Teacher Assistants,3,"Education, Training, & Library",1263820,NA,25410,0.8,0.8,78.6,6.4,374.5,Perform duties that are instructional in nature or deliver direct services to students or parents. Serve in a position for which a teacher has ultimate responsibility for the design and implementation of educational programs and services.
27-1026,Merchandise Displayers and Window Trimmers,3,"Arts, Design, Entertainment, Sports, & Media",114690,12.83,26700,0.1,0.1,3.3,2.8,32.1,"Plan and erect commercial displays, such as those in windows and interiors of retail stores and at trade exhibitions."
27-2023,"Umpires, Referees, and Other Sports Officials",3,"Arts, Design, Entertainment, Sports, & Media",18660,NA,25660,0,0,1,4.8,7.6,"Officiate at competitive athletic or sporting events. Detect infractions of rules and decide penalties according to established regulations. Includes all sporting officials, referees, and competition judges."
27-4011,Audio and Video Equipment Technicians,3,"Arts, Design, Entertainment, Sports, & Media",69670,20.3,42230,0,0,8.4,11.9,21.9,"Set up, or set up and operate audio and video equipment including microphones, sound speakers, video screens, projectors, video monitors, recording equipment, connecting wires and cables, sound and mixing boards, and related electronic equipment for concerts, sports events, meetings and conventions, presentations, and news conferences. May also set up and operate associated spotlights and other custom lighting systems."
27-4014,Sound Engineering Technicians,3,"Arts, Design, Entertainment, Sports, & Media",15210,25.81,53680,0,0,1.2,7.6,4.3,"Operate machines and equipment to record, synchronize, mix, or reproduce music, voices, or sound effects in sporting arenas, theater productions, recording studios, or movie and video productions."
27-4021,Photographers,3,"Arts, Design, Entertainment, Sports, & Media",48660,16.38,34070,0.1,0.1,3.9,3.1,34.5,"Photograph people, landscapes, merchandise, or other subjects, using digital or film cameras and equipment. May develop negatives or use computer software to produce finished images and prints. Includes scientific photographers, aerial photographers, and photojournalists."
29-1124,Radiation Therapists,3,Healthcare Practitioners & Technical,17450,38.54,80160,0,0,2.3,14,6.2,"Provide radiation therapy to patients as prescribed by a radiologist according to established practices and standards. Duties may include reviewing prescription and diagnosis; acting as liaison with physician and supportive care personnel; preparing equipment, such as immobilization, treatment, and protection devices; and maintaining records, reports, and files. May assist in dosimetry procedures and tumor localization."
29-1126,Respiratory Therapists,3,Healthcare Practitioners & Technical,126770,28.21,58670,0.1,0.1,14.9,12.3,43.3,"Assess, treat, and care for patients with breathing disorders. Assume primary responsibility for all respiratory care modalities, including the supervision of respiratory therapy technicians. Initiate and conduct therapeutic procedures; maintain patient records; and select, assemble, check, and operate equipment."
29-1141,Registered Nurses,3,Healthcare Practitioners & Technical,2857180,32.91,68450,1.8,2,439.3,16,1088.4,"Assess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required."
29-2012,Medical and Clinical Laboratory Technicians,3,Healthcare Practitioners & Technical,160190,18.73,38950,0.1,0.1,29,17.8,68.1,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist."
29-2021,Dental Hygienists,3,Healthcare Practitioners & Technical,204990,35.05,72910,0.1,0.1,37.4,18.6,70.3,"Clean teeth and examine oral areas, head, and neck for signs of oral disease. May educate patients on oral hygiene, take and develop x rays, or apply fluoride or sealants."
29-2031,Cardiovascular Technologists and Technicians,3,Healthcare Practitioners & Technical,53760,26.71,55570,0,0,11.5,22.2,21.4,"Conduct tests on pulmonary or cardiovascular systems of patients for diagnostic purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary functions, lung capacity, and similar tests. Includes vascular technologists."
29-2032,Diagnostic Medical Sonographers,3,Healthcare Practitioners & Technical,65790,33.49,69650,0,0,16,26.4,27.5,Produce ultrasonic recordings of internal organs for use by physicians.
29-2033,Nuclear Medicine Technologists,3,Healthcare Practitioners & Technical,19650,35.75,74350,0,0,0.3,1.5,4.2,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques."
29-2034,Radiologic Technologists,3,Healthcare Practitioners & Technical,200650,27.62,57450,0.1,0.1,17.2,8.7,54.4,Take x rays and CAT scans or administer nonradioactive materials into patient's blood stream for diagnostic purposes. Includes technologists who specialize in other scanning modalities.
29-2035,Magnetic Resonance Imaging Technologists,3,Healthcare Practitioners & Technical,35850,32.9,68420,0,0,3.5,10.3,9.8,"Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of area being scanned to ensure quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patient, explain MRI procedures, and position patient on examining table. May enter into the computer data such as patient history, anatomical area to be scanned, orientation specified, and position of entry."
29-2041,Emergency Medical Technicians and Paramedics,3,Healthcare Practitioners & Technical,244960,15.71,32670,0.2,0.2,58.5,24.2,98,"Assess injuries, administer emergency medical care, and extricate trapped individuals. Transport injured or sick persons to medical facilities."
29-2052,Pharmacy Technicians,3,Healthcare Practitioners & Technical,398390,14.86,30920,0.2,0.3,34.7,9.3,71.6,"Prepare medications under the direction of a pharmacist. May measure, mix, count out, label, and record amounts and dosages of medications according to prescription orders."
29-2055,Surgical Technologists,3,Healthcare Practitioners & Technical,105720,21.71,45160,0.1,0.1,14.7,14.8,24.6,"Assist in operations, under the supervision of surgeons, registered nurses, or other surgical personnel. May help set up operating room, prepare and transport patients for surgery, adjust lights and equipment, pass instruments and other supplies to surgeons and surgeon's assistants, hold retractors, cut sutures, and help count sponges, needles, supplies, and instruments."
29-2056,Veterinary Technologists and Technicians,3,Healthcare Practitioners & Technical,99390,15.62,32490,0.1,0.1,17.9,18.7,27.4,"Perform medical tests in a laboratory environment for use in the treatment and diagnosis of diseases in animals. Prepare vaccines and serums for prevention of diseases. Prepare tissue samples, take blood samples, and execute laboratory tests, such as urinalysis and blood counts. Clean and sterilize instruments and materials and maintain equipment and machines. May assist a veterinarian during surgery."
